id,business,channel,owner,status,outreach_date,reply_date,notes
SAL-001,DR. MEK,email,arun,new,,,Berlin Tier-A — schema bugs + WhatsApp link not automated
SAL-002,Kaya Skin Clinic UAE,email,arun,new,,,"UAE Tier-A — kaya.ae parked, traffic routed to kaya.in"
