id,title,channel,owner,status,publish_date,notes
MKT-001,What is Answer Engine Optimization,blog,,idea,,Pillar post explaining AEO for clinics
MKT-002,5 schema fixes every clinic website needs,linkedin,,idea,,"Short-form, link to pillar post"
